ŽžŠÔ,timeStep,TSPS,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,
0.221579,0.221579,4.51306,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.233549,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.245512,0.011963,83.5911,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.257475,0.011963,83.5911,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.269445,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.281414,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.293379,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.305346,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.31732,0.011974,83.5143,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.329284,0.011964,83.5841,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.341252,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.353218,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.364692,0.011474,87.1536,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.376662,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.388631,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.401598,0.012967,77.1188,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.413077,0.011479,87.1156,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.425046,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.43701,0.011964,83.5841,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.449484,0.012474,80.1667,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.461452,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.473423,0.011971,83.5352,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.485266,0.011843,84.4381,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.496745,0.011479,87.1156,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.508715,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.520681,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.532648,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.544618,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.55758,0.012962,77.1486,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.569553,0.011973,83.5213,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.581522,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.593489,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.605452,0.011963,83.5911,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.617418,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.629385,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.641355,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.653321,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.665288,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.677253,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.689229,0.011976,83.5003,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.7012,0.011971,83.5352,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.71316,0.01196,83.612,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.725125,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.737094,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.749062,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.76103,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.773001,0.011971,83.5352,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.785172,0.012171,82.1625,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.798139,0.012967,77.1188,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.809105,0.010966,91.191,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.821071,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.833038,0.011967,83.5631,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.84501,0.011972,83.5282,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.856984,0.011974,83.5143,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.868943,0.011959,83.619,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.880913,0.01197,83.5422,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.892881,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.90485,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.916815,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.928787,0.011972,83.5282,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.940751,0.011964,83.5841,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.952719,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.964688,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.976669,0.011981,83.4655,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
0.988622,0.011953,83.661,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.00059,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.01355,0.012967,77.1188,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.02552,0.011969,83.5492,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.03749,0.011965,83.5771,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.04945,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.06142,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.0734,0.011975,83.5073,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.08536,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.09733,0.011966,83.5701,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.1093,0.011971,83.5352,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.12126,0.011964,83.5841,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.13323,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.1452,0.011971,83.5352,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.15725,0.012044,83.0289,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.16923,0.011983,83.4516,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.1811,0.01187,84.246,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
1.19307,0.011968,83.5562,0,1,0,0.25,1.25,0.25,0.25,1.25,-0.25,0.25,0.75,0.25,0.25,0.75,-0.25,-0.25,0.75,0.25,-0.25,0.75,-0.25,-0.25,1.25,0.25,-0.25,1.25,-0.25,
